ProductID,ProductName,Category,Price
P001,Sony WH-1000XM5 Headphones,Electronics,373.36
P002,Organic Almond Milk,Groceries,78.37
P003,Dyson Supersonic Hair Dryer,Electronics,52.6
P004,Roomba j7+ Robot Vacuum,Home,24.6
P005,Organic Almond Milk,Groceries,257.62
P006,Dyson Supersonic Hair Dryer,Electronics,107.43
P007,Levis 501 Jeans,Fashion,118.02
P008,Cole Haan Loafers,Fashion,406.62
P009,Apple iPad Pro,Electronics,352.09
P010,Fitbit Charge 6,Fitness,86.18
P011,Lululemon Yoga Mat,Fitness,55.45
P012,Samsung Galaxy S23,Electronics,425.27
P013,Cole Haan Loafers,Fashion,405.49
P014,Herman Miller Office Chair,Home,71.16
P015,Roomba j7+ Robot Vacuum,Home,280.5
P016,Cole Haan Loafers,Fashion,292.9
P017,Sony WH-1000XM5 Headphones,Electronics,334.02
P018,Lululemon Yoga Mat,Fitness,429.11
P019,Bose QuietComfort Earbuds,Electronics,146.21
P020,Nike Air Zoom Pegasus,Fitness,191.39
P021,Italian Extra Virgin Olive Oil,Groceries,353.89
P022,Dyson Supersonic Hair Dryer,Electronics,321.14
P023,Ray-Ban Aviator Sunglasses,Fashion,90.07
P024,All-Clad Stainless Cookware,Home,494.87
P025,Ray-Ban Aviator Sunglasses,Fashion,345.46
P026,Apple iPad Pro,Electronics,412.68
P027,Hydro Flask Water Bottle,Fitness,141.19
P028,Japanese Matcha Powder,Groceries,439.42
P029,Nike Air Zoom Pegasus,Fitness,331.16
P030,Brooklinen Luxe Sheets,Home,80.01
P031,Organic Almond Milk,Groceries,375.04
P032,Cole Haan Loafers,Fashion,376.04
P033,Herman Miller Office Chair,Home,205.71
P034,Organic Almond Milk,Groceries,259.67
P035,Sony WH-1000XM5 Headphones,Electronics,431.94
P036,Organic Almond Milk,Groceries,398.12
P037,Herman Miller Office Chair,Home,41.13
P038,Herman Miller Office Chair,Home,498.1
P039,Cole Haan Loafers,Fashion,485.83
P040,Sony WH-1000XM5 Headphones,Electronics,344.04
P041,Cole Haan Loafers,Fashion,386.61
P042,Lululemon Yoga Mat,Fitness,153.82
P043,Belgian Dark Chocolate,Groceries,11.59
P044,Theragun Elite Massager,Fitness,383.36
P045,Patagonia Nano Puff Jacket,Fashion,436.55
P046,Theragun Elite Massager,Fitness,308.4
P047,Italian Extra Virgin Olive Oil,Groceries,383.63
P048,Canada Goose Parka,Fashion,460.06
P049,Cole Haan Loafers,Fashion,249.42
P050,Samsung Galaxy S23,Electronics,440.57
P051,Nike Air Zoom Pegasus,Fitness,38.38
P052,Patagonia Nano Puff Jacket,Fashion,51.97
P053,Roomba j7+ Robot Vacuum,Home,489.21
P054,Ray-Ban Aviator Sunglasses,Fashion,72.91
P055,Herman Miller Office Chair,Home,90.91
P056,Canada Goose Parka,Fashion,217.34
P057,Japanese Matcha Powder,Groceries,380.08
P058,Italian Extra Virgin Olive Oil,Groceries,205.51
P059,Hydro Flask Water Bottle,Fitness,450.81
P060,Roomba j7+ Robot Vacuum,Home,131.47
P061,Samsung Galaxy S23,Electronics,20.31
P062,Ray-Ban Aviator Sunglasses,Fashion,298.34
P063,Sony WH-1000XM5 Headphones,Electronics,356.84
P064,Apple iPad Pro,Electronics,43.03
P065,Samsung Galaxy S23,Electronics,44.72
P066,Italian Extra Virgin Olive Oil,Groceries,337.8
P067,Japanese Matcha Powder,Groceries,74.83
P068,Canada Goose Parka,Fashion,241.61
P069,Brooklinen Luxe Sheets,Home,103.3
P070,Bose QuietComfort Earbuds,Electronics,183.61
P071,Brooklinen Luxe Sheets,Home,433.28
P072,Sony WH-1000XM5 Headphones,Electronics,39.7
P073,Lululemon Yoga Mat,Fitness,131.84
P074,Japanese Matcha Powder,Groceries,229.82
P075,Nespresso Vertuo Plus,Home,146.49
P076,Lavazza Premium Coffee Beans,Groceries,227.13
P077,Patagonia Nano Puff Jacket,Fashion,34.79
P078,Patagonia Nano Puff Jacket,Fashion,484.81
P079,Organic Almond Milk,Groceries,209.14
P080,Nespresso Vertuo Plus,Home,433.68
P081,Apple iPad Pro,Electronics,195.7
P082,All-Clad Stainless Cookware,Home,463.99
P083,All-Clad Stainless Cookware,Home,217.27
P084,Levis 501 Jeans,Fashion,85.85
P085,Nike Air Zoom Pegasus,Fitness,484.67
P086,Canada Goose Parka,Fashion,39.87
P087,Lululemon Yoga Mat,Fitness,34.57
P088,Herman Miller Office Chair,Home,460.5
P089,Ray-Ban Aviator Sunglasses,Fashion,37.87
P090,Patagonia Nano Puff Jacket,Fashion,427.16
P091,Dyson Supersonic Hair Dryer,Electronics,43.3
P092,Belgian Dark Chocolate,Groceries,68.74
P093,Ray-Ban Aviator Sunglasses,Fashion,293.67
P094,Dyson Supersonic Hair Dryer,Electronics,50.17
P095,Canada Goose Parka,Fashion,266.16
P096,Nike Air Zoom Pegasus,Fitness,338.17
P097,Nike Air Zoom Pegasus,Fitness,140.15
P098,Italian Extra Virgin Olive Oil,Groceries,234.04
P099,Sony WH-1000XM5 Headphones,Electronics,234.56
P100,Patagonia Nano Puff Jacket,Fashion,45.9
